  Year 1  ,  Year 2  ,  Year 3  ,  Year 4  ,  Year 5  
66275,279910,483996,199630,75013
299564,300105,92172,200416,0
259890,174737,9311,199624,123613
232617,322840,475270,200236,220806
286396,158329,210277,200216,292953
251611,279440,109401,200163,78058
185905,171120,388283,199561,0
128340,158313,214155,200583,0
231807,213690,349623,200122,8237
189929,160199,399976,200406,104489
207204,193570,9420,200476,61213
142406,229437,345882,200437,104034
236426,186483,483821,200154,161196
327373,183694,316785,200005,177460
128581,334440,3291,199673,120886
37855,308287,479004,199925,114381
232759,243158,343680,200297,336858
201399,266947,27107,200376,39733
271041,206263,225959,199701,379330
80821,196969,7297,199462,104496
23580,205517,340713,200302,80798
99998,346625,451555,200606,0
225867,303221,227638,199020,0
383872,344580,326067,200427,43166
43246,248063,1,199548,0
138221,157928,60096,200048,0
301828,190332,125203,199579,211669
326581,337123,25764,199648,0
183947,266640,330889,200307,31818
60938,307841,499990,200317,41552
141063,347526,460527,200087,148019
303186,320037,467533,199997,75449
119388,230722,89604,200005,182340
208740,301821,423852,199455,257235
134735,157404,227298,200413,3263
49193,271920,405465,200301,50178
187788,232348,497962,199861,0
80796,237567,288163,199782,38123
265660,155878,496812,200304,0
408269,231188,451141,199888,0
226072,249012,499805,199483,68421
315426,242451,170310,200296,27576
160288,200369,486421,200065,133655
204652,192860,499323,200143,776
217575,349912,7652,200281,72738
201873,183348,457185,200081,40394
124223,227655,432433,199584,83294
242057,330306,159071,200420,109960
233565,338997,305243,199488,0
195465,342009,394970,200659,30461
291192,336522,498419,200268,0
241078,240170,101801,200446,14274
153832,165499,1355,200224,30829
246811,211762,495418,200253,107030
72686,220799,93992,200479,130119
382095,298488,217843,200073,23159
186698,261229,39103,200180,57451
343506,289234,280154,199045,38078
252736,342047,63836,200500,0
230466,237925,474825,199545,55285
301508,205885,487245,199722,56973
199707,308850,428486,200340,80180
304507,288917,378057,199964,37909
244631,162475,334323,199305,102089
158412,248734,493667,200227,0
277874,296257,260452,199900,0
264714,344724,445270,199858,0
269884,348476,379516,199820,0
293102,345291,497651,200573,0
90367,258782,36976,199558,0
266968,233877,197976,199839,208519
271027,198241,101891,199817,54714
205240,311120,45977,200427,228491
228586,269518,461401,200727,0
186232,263385,10539,200259,239775
395648,173066,251866,199733,29543
232810,342481,468474,199992,0
218716,236926,268721,199985,0
155776,331356,21247,200359,106928
238237,156208,77239,200068,54790
83367,164204,472818,199809,24233
328489,240374,377314,199621,62949
331741,216252,275815,200023,108253
109626,252653,19385,200212,0
15009,177588,399555,199461,0
201191,239699,263175,199764,150004
382103,330165,499027,200286,43257
202829,158374,206632,199768,161955
362428,178914,450997,200116,0
187367,240422,296216,200451,0
205909,173138,391454,199287,93427
160007,234427,343318,199834,57237
226335,256665,51449,200278,153168
405219,152210,8838,199459,0
240199,315284,308718,200197,19313
120236,231772,419997,200193,31304
331099,162171,477159,200410,77601
307716,318208,18128,200413,0
252853,161606,233318,199839,95567
196065,215591,471742,200116,97342
179486,335936,442862,200215,17970
43230,166818,56297,200419,5404
215525,217107,151635,199392,38925
158194,162886,28427,199800,8266
392158,177249,498340,200532,14230
302293,167194,77914,199762,0
137966,155538,15610,200499,0
89796,333120,94969,199926,85997
77861,301357,452588,199565,0
148690,193704,247634,200137,156330
0,176407,2259,199948,188280
248611,274400,139699,200240,0
222996,208820,327967,200102,0
0,183679,1798,200512,95137
226566,192116,499635,200417,48284
15801,157431,319515,200489,94500
153632,231995,343954,200309,0
144244,281757,16589,199720,152318
358144,322464,32020,200004,0
289189,207620,388508,200338,0
307077,153258,439168,200575,23413
270730,193894,13982,200349,142867
221502,159842,480003,199588,85883
175066,195376,404116,200439,97730
151739,195638,447643,200213,138375
238589,220572,443525,199789,0
281667,185794,406685,200111,0
262177,321354,495764,199390,47399
47347,317149,177375,199751,198563
366165,260257,446887,199948,54283
278903,248033,7394,199922,0
285004,292475,44489,200591,70637
217171,327192,350715,199586,34033
200510,228643,271302,199885,62787
158378,284707,191269,200678,0
174684,228529,41988,199982,47732
254368,222617,40778,199830,0
248179,174101,471624,199589,26052
351001,333776,329643,200699,82176
210371,221858,60457,199960,50364
65648,339748,446938,200395,115858
382443,186645,262550,199946,44776
116751,194042,211709,199420,0
140211,177035,41076,200121,0
73300,153721,405640,200128,50550
258411,168377,441565,200181,83623
382939,205575,2166,199711,72313
99384,211488,422299,199874,0
316485,347004,697,199238,0
306794,275402,407465,199333,1696
151738,214824,402399,200700,0
277210,255556,277630,200498,230349
338973,179816,213809,200143,89116
275781,270020,116102,200505,193312
182691,315001,35490,200284,0
250109,295798,472937,200032,62256
63058,151334,99666,200170,0
244587,218931,470199,199436,11163
373775,152317,39655,199536,94923
327692,176327,499573,199942,0
127419,191170,448023,200091,189265
199497,239062,447962,199942,84547
66699,257729,411882,200209,224741
329779,232129,496599,200065,0
308888,348813,205247,199849,280509
139114,158263,133527,199481,78486
189331,335924,480924,199905,20423
355418,172302,132048,200008,236204
271014,309448,137718,199258,0
139058,273830,95524,199875,9287
251906,325923,5695,199888,0
271117,200328,3799,199961,72880
187433,207634,285610,200053,121753
339827,269519,217561,200026,156860
280461,167027,46097,199753,0
211069,239676,42432,199908,166684
146092,159783,1590,200133,19030
364730,196513,163138,199468,173829
237188,208115,437955,199767,0
135090,272087,27533,199969,0
67478,218963,489342,200158,24518
195430,305296,345557,199557,0
294263,344471,375271,199461,0
287366,342141,494868,199350,0
75839,159992,26357,199259,243649
412264,289774,42042,200235,235571
119441,196725,484727,199614,0
66952,319392,131407,199964,0
309196,154559,167587,199657,0
204471,253071,297365,200635,0
168743,273625,44237,199186,86869
280833,234115,167394,200735,10055
135140,272779,339385,199367,12764
361383,254400,231934,200069,231482
28889,160312,454983,199332,8518
162172,234575,6776,199509,41139
198278,230257,10177,200095,224459
218413,202138,290034,199975,159644
128395,333343,360969,200120,0
418285,245731,174310,199493,0
25631,207758,475745,200110,44150
320965,220842,291179,199866,183410
130235,331206,496035,200480,0
127866,310173,146874,199579,136949
297672,305237,327284,199999,191932
215985,313642,120496,199768,98611
233020,282214,252773,200474,0
151796,201931,305861,199871,151843
197366,227745,169570,200326,0
115072,225159,359228,200056,149696
255439,181289,436788,200622,0
266920,197521,369594,199436,261911
139831,180820,2804,200673,149064
280734,326354,80129,199363,0
86863,339628,107689,200316,41237
232602,196339,498326,199840,312353
362405,287510,71608,199579,133355
280480,242411,58886,199094,101916
175049,167497,461157,199867,51452
219141,300499,470649,200009,76693
109416,279705,459567,200324,0
138451,150801,83841,199672,0
382808,336604,298473,200555,0
219590,342390,215460,199931,46884
325998,209631,238786,200452,216104
136415,222590,24078,200004,70530
250560,271803,452752,200106,0
21151,180830,6038,200111,0
168322,285103,65,199842,0
228301,315933,333810,200156,81524
208890,239027,34359,200262,171923
155887,204666,123506,200103,165319
73371,215050,277428,199771,96755
257123,278492,99809,200079,0
228392,292157,485331,200150,0
385919,348140,52447,200153,62944
226062,226937,319745,199610,70911
249327,156763,177184,200035,15901
211413,205393,14440,201111,59163
226851,201080,64533,200150,106279
0,150491,91276,200316,80763
227138,266297,1782,199503,0
55016,273200,396594,200119,0
141188,274420,91,199817,0
7799,238079,21017,199542,132438
128280,166198,7895,200125,32312
11031,257704,201535,199964,115999
0,243452,189957,199684,26473
188360,305591,15097,199893,46710
227334,229638,417781,199537,0
263161,274712,44695,199957,321181
62776,204325,1268,200056,0
64628,194532,168218,200205,0
117572,337152,223599,199447,102547
160893,223147,108369,200717,199089
15966,185747,144317,199576,34602
200500,250451,498416,199697,0
180145,340994,332397,200430,0
120195,320164,497513,199886,0
181921,341604,326710,199738,18224
188803,326582,497207,200196,75848
212056,230893,448862,199336,107244
153644,237031,33638,199835,21029
172964,160155,1102,199342,60458
160958,178827,24481,199495,0
229982,205970,22674,199542,58725
311914,235279,439415,200399,75918
210211,314487,32102,199861,42102
190824,332605,473565,200725,57499
94625,200014,322871,199418,70132
266609,184476,139,200613,88600
289852,315340,330407,199674,232712
210350,249001,269411,199818,119789
9352,204240,53900,199506,33422
147449,342087,381915,199839,0
376796,186710,104508,200111,97136
199847,263359,1630,199804,23788
70595,313337,422682,199908,39564
323134,283795,481918,200135,120314
204209,157229,324594,200597,195998
237406,221225,32191,199451,95493
226152,216208,292316,200686,0
267670,190504,471833,199962,0
195089,344106,410475,200496,179180
284199,171753,228123,199242,163504
224704,272302,364804,199102,0
182974,268116,1068,199714,25088
33638,228843,30653,200691,205995
338890,186961,364911,200146,69670
179873,345250,39890,200144,0
129087,151498,401268,199842,0
182363,207569,645,200140,119955
281175,309361,134282,200281,0
31468,339670,41333,200112,364738
336158,320340,416398,200297,125538
220792,263333,393073,199927,84833
221211,215947,60242,199623,29583
315087,196277,36535,199807,0
242164,284285,395778,200433,266201
74899,329443,409224,200005,98066
535331,171470,294262,200007,0
233285,201162,71670,199563,0
236692,229052,6491,199731,48526
0,181396,365736,199750,124228
21018,323346,3880,199159,0
148598,302162,256999,200894,46058
233148,232024,144293,199776,133064
184939,234687,486106,199961,0
114335,289196,226810,200282,29998
99694,162288,154198,199766,255885
174866,164778,280293,199680,166544
148069,263926,241930,199931,21876
255651,173628,72977,200219,0
141495,161471,494565,199384,221537
219474,335636,488718,200127,0
164121,190590,43020,199479,168613
184491,302809,122815,199735,11992
204089,250344,20426,200041,16562
219734,231874,499745,200808,0
284008,259527,291878,199372,83717
41454,191316,62776,199642,0
277285,331727,16733,200358,0
224825,338627,182650,200370,38530
237134,269276,497205,200192,163846
217968,281053,248663,200589,109716
168423,287389,488829,199837,128566
205832,314808,588,199903,28743
117949,202246,97210,200489,37425
130644,257938,497270,200059,0
180855,229874,332290,199774,0
182760,258581,490410,200919,145822
78626,303126,82815,199098,4287
101929,339032,23832,200466,88571
169200,233865,275999,200068,35671
33688,266688,31747,199674,88706
243200,255286,1239,199985,0
181358,260990,211470,200111,68627
0,267929,394597,199531,40249
289404,190375,124560,199969,116153
250255,275940,27832,199554,48905
303127,305433,279302,199652,134416
299613,343825,463346,200746,154900
98721,321527,85433,200472,47469
93771,290039,26304,200273,34732
78402,305677,467687,200320,108533
160238,180308,402093,199880,70142
132967,246823,360871,199530,87878
80953,331314,52008,199803,82433
284818,279483,225630,200414,132891
203086,298833,376758,199914,0
200459,302204,498038,199992,88611
233297,333688,170,199736,0
137699,233811,152006,199904,196904
134361,306132,386643,199988,27205
123991,236282,78784,199716,29361
254801,190448,11073,200184,257539
59506,173227,193687,200328,30708
0,255134,118772,199992,0
123912,161120,492583,200042,0
673,349493,443871,200231,2298
185729,274834,345067,199799,0
0,239354,349577,200266,110822
306353,174204,440969,200216,96088
143622,244046,404482,199684,33568
112694,249891,292045,200596,155641
371192,186928,346579,200086,88575
160906,245389,499945,199951,29221
168222,154836,376134,200178,259931
301135,198472,218142,200055,0
192360,235407,397103,199836,11532
93955,323441,156737,199347,86737
42045,185761,412876,200504,74536
0,247993,2887,199341,242472
234550,176164,78623,198986,0
280952,204703,2335,199729,0
308687,255770,498290,199999,213167
222807,207717,336024,199858,0
263189,188401,65966,200038,228491
63600,203685,401243,199644,163033
265522,251855,151794,200849,0
285828,226798,154050,200122,0
191934,293612,25695,199896,81495
220480,188105,287415,200345,53116
0,251716,464110,200018,70966
188966,321605,489114,199462,221687
233415,337662,397518,200327,0
366783,191803,275291,200200,20724
260882,227206,361340,200405,91422
139773,289690,200226,200092,86608
0,318628,382237,200003,0
420686,214282,213,200354,144806
343544,229336,463220,200009,32526
218123,338740,344717,199621,127949
274184,159145,376997,200595,69949
265061,240246,56884,199851,109544
82606,227584,407882,200075,96339
262327,234923,412491,199392,0
175681,163568,53047,200186,9285
0,233846,324296,199043,164387
169485,272955,103246,199456,0
378019,267945,18836,200312,0
44433,229591,66439,199942,160677
157682,218054,317410,200217,115939
137834,313494,463656,200539,99691
262430,210680,485660,199379,0
241774,344730,108702,199950,94692
58048,178854,70741,200442,142390
2964,271129,405890,199803,0
255229,289515,166033,200611,74576
8251,169827,184244,199775,59009
250074,310011,9879,200007,12095
0,332143,58121,200291,98574
275602,170424,476431,199326,114045
103228,300745,488367,200111,2441
0,152586,477830,200121,102852
257560,321973,429326,200047,322718
301857,199338,289727,198755,75270
137673,153974,469886,200265,57785
183241,223159,14791,200161,141619
0,160066,499776,200137,157500
142616,161753,274945,200086,0
323326,176137,2818,200091,164260
90315,182525,240509,199859,0
269665,282059,343217,200840,0
92648,275336,65580,200099,252322
280503,202742,2062,200352,218903
203200,187925,772,199514,33837
264243,302902,401911,199990,52131
167169,275272,247135,200122,65340
149196,269720,371986,200047,0
119929,180364,1755,199989,92516
386933,298183,488465,199622,0
160275,293605,289695,200121,0
242348,340211,402063,199945,79356
176566,190537,30895,200198,137060
231613,274227,7183,200099,0
202548,197518,221508,200227,174217
179111,196273,144091,200166,0
0,309449,351683,200008,0
8092,264714,272479,200314,23335
71865,190459,290146,199917,115173
155563,235182,312469,200118,2982
412258,193954,460954,200185,0
246089,237555,126442,200587,0
31954,196588,479386,200734,0
143818,302966,33317,200258,13651
231818,159709,499766,200113,24261
218094,182077,76862,200044,0
196984,327772,61320,199924,0
141963,338012,466480,200395,113880
327009,225297,226389,199711,0
268229,281297,190865,200328,71814
202744,214571,370466,199637,83609
195695,328138,348,200012,119818
217801,260562,232530,200249,59949
188545,316604,262653,200111,23588
240975,264430,446693,199018,164366
363138,267207,340572,199800,7783
123416,305365,297560,199785,179723
290318,248250,350680,199772,125768
107922,286527,587,199867,0
370596,311687,25377,200011,126796
208323,159149,43958,199873,0
174364,176892,34820,200098,37840
258959,269352,483309,199884,1681
65390,167259,335043,199746,0
186287,196959,165628,200313,59775
305086,212247,13909,200632,96032
186670,324716,278853,200267,234287
0,293245,225930,199880,144972
174398,153119,83520,200147,626
72789,151105,145903,200628,44416
136210,178838,2765,199864,314541
285851,240560,318632,200391,10278
316967,252645,347143,200217,0
231686,209387,312507,200105,112602
282694,244081,378826,199588,0
26634,194662,70694,200304,211461
80698,263210,446995,200361,0
337876,281678,472371,200120,0
193379,216584,77688,200232,0
141026,300541,463317,199177,288378
253014,259317,418247,200551,0
248067,331820,472199,199760,34585
272198,248282,33315,199781,85675
281829,167018,7502,199532,185903
400726,223618,453323,199632,93195
41054,257545,33439,200126,200353
246108,216617,196048,199971,206402
286054,305745,335934,200197,1017
341608,194020,307511,199211,121503
345207,230773,426162,200314,54370
0,204212,61837,200200,75492
310977,223140,280016,199773,234202
381546,331280,216470,199884,72092
139443,176720,29654,200203,113687
282657,171552,499586,199845,0
188453,189034,463843,199576,141425
208600,239484,384364,200750,35691
437646,343899,354013,200361,126483
138541,284258,1619,200362,49309
0,347567,496660,199786,101242
216324,233769,2205,200002,15215
229822,302305,23379,199977,24685
243539,267580,104058,199707,172984
213033,275122,461662,200161,85070
235479,246064,129158,200321,26144
151833,235819,22805,200059,0
154996,337186,329724,200369,39968
212064,330207,259343,200745,3640
245710,297109,492899,199821,0
195467,267342,168370,200143,0
178679,216707,54940,200268,3916
286487,272213,111003,199366,88885
182551,315395,492308,200345,97322
218332,231091,330587,199428,120672
222560,192545,344633,199537,0
132231,336351,91648,200524,138705
116720,274999,202486,199149,0
167322,339189,481118,200153,0
74686,201508,429616,199194,0
182092,159414,179609,199471,56843
263254,268942,21816,200450,67137
157804,297843,108333,199818,160066
199050,221170,67837,199880,66026
262261,258632,30442,199964,114327
380855,220568,384106,200039,0
214173,165302,398441,199538,98587
161684,160098,89161,200198,0
200758,205322,460024,200492,164724
399357,321985,347680,199633,0
185339,254243,249832,199802,138390
305353,176719,151297,200086,138656
348255,275913,493142,200610,47740
40201,194096,498810,200091,151460
388353,223419,294820,199901,1079
327696,307845,365106,200364,116262
136711,267454,20578,200034,104223
202965,243244,8435,200042,76322
349193,315630,5379,199987,117109
220225,211450,432032,199824,0
333660,220942,278256,199063,0
282015,288044,339396,199055,202040
93946,242705,373146,200133,150537
30724,158981,12913,200604,156028
476065,177794,13065,200072,0
128033,237276,443653,199541,167745
303036,272973,455873,200356,45982
248861,264509,327604,200547,53558
201420,329640,124689,199894,94790
210329,168683,342998,200009,131529
354554,243888,329445,199768,50784
317189,224673,9079,200293,0
381102,238803,268692,199757,0
0,209193,462112,200101,0
312810,344215,384002,199549,0
92857,214611,109842,200495,0
174492,153973,404778,199590,56898
241439,193860,101469,200031,58107
179114,300592,325682,199289,114034
322062,326243,472210,199602,0
289541,201218,335310,200419,294300
13909,255319,77064,200475,0
118974,215094,431285,200488,223128
212417,194910,22425,200769,39966
440534,325982,398366,200218,102643
180507,183163,320823,200885,0
236159,299583,144952,199350,87083
60041,273308,463179,199328,123558
42349,326921,370782,200153,6302
157771,218743,263454,200350,0
187482,271597,210542,200046,143462
119563,182617,264844,200281,199850
366417,261315,126579,199944,97989
78549,305471,8333,200049,0
157240,261712,382868,200273,0
166623,293775,261,200242,0
185982,244715,496626,200630,0
49275,291716,242634,200496,0
149403,209132,2962,199649,0
278224,294749,386439,199805,102333
217094,325065,51988,199812,185517
140730,177595,118045,200211,0
161404,227015,146127,199352,117943
184157,218586,30430,200194,0
145689,327716,492283,200533,0
210331,259156,476015,200307,83340
107112,277260,499334,199752,0
213836,262265,322490,199119,59830
283114,168250,454340,200553,175176
278517,179809,499652,199881,199182
276283,236972,311426,200286,0
122444,202434,36319,200282,98330
3541,332051,411404,200242,83346
256535,338561,497963,200223,0
156012,182227,105029,199657,0
237256,300049,164829,199846,0
264099,217203,216911,200729,0
227937,315730,478362,199803,248601
401772,298047,92704,199991,31793
196547,340813,93091,200387,0
140310,276133,180929,200139,71125
230630,233173,403350,199281,0
214744,189870,266644,199814,104972
186835,234951,484677,199848,0
105283,164995,499983,200817,0
168631,219028,433190,199487,53164
163499,301588,470727,199848,386547
84103,167513,279852,200168,36578
226112,186880,152742,199610,0
125478,222793,484876,200318,0
166076,263844,175012,199844,11836
172185,242151,219269,200009,45436
217497,276068,21022,200352,15869
202742,338312,43981,199658,61364
336524,238312,52840,200239,5499
242366,266795,85999,199644,106345
260752,300299,85736,200311,276343
10545,340030,1445,200048,63581
257244,280949,267785,199958,204325
290119,208851,468673,200847,109215
331931,201782,426987,199766,113049
187762,225702,134191,200695,0
175009,317552,12151,199924,269951
387239,182077,135300,199922,7296
113851,160450,487204,200287,0
150166,291986,278593,200111,0
84599,237498,236,199960,126270
50107,314056,45122,200088,248881
254514,173483,445981,200501,0
225255,333197,320949,200046,136541
365968,179183,217500,200173,71480
134781,298963,188069,199931,0
231969,220616,203855,200142,14746
232473,165828,291711,200188,136510
375450,186319,187199,200088,0
311445,221443,405077,200429,0
319132,173617,42117,200636,0
181662,250304,138038,200575,0
70405,150317,3354,200502,31187
144310,338097,495126,200123,114173
116722,298134,496729,199861,0
132020,211583,1609,199978,0
285846,168191,160204,199978,44064
136903,225335,2453,200109,164301
75345,253960,26451,200030,11229
135656,216577,482665,200504,10299
240901,281802,368373,200423,0
248285,247715,499868,199732,98642
329037,196881,2192,199858,0
290697,346910,49329,200556,51399
137051,204981,22961,199345,161709
143832,181795,296294,200072,264168
65038,215200,459892,200664,36773
204636,168209,498557,199789,32484
219918,233665,385068,200531,58757
248102,233649,245287,200519,38894
446638,209635,32231,200443,0
57827,231178,286194,199958,0
188320,189762,198342,200409,50929
225793,339386,493928,199670,133954
148291,312729,75394,199893,7253
166132,189000,169892,200172,30724
265434,177944,455604,200057,251276
358756,322767,342653,200325,19356
101923,337766,487072,199984,11555
137288,262817,470688,199627,32862
337707,174224,8124,199981,31879
122606,294851,328732,200579,105227
119308,194626,41295,200141,0
0,225335,83127,199592,208543
244728,262075,499987,200404,86160
254923,328195,31065,199727,50919
130428,310298,141992,200825,0
228348,270043,466234,199213,204563
284093,279312,344268,200347,21620
140241,314346,5485,199501,0
234924,268186,393369,199849,75876
142643,165981,380550,199571,75669
277838,198419,247226,199691,16198
261837,174137,463426,200022,125550
126963,337186,408650,200238,197980
165928,342694,485719,199984,170445
77050,197554,108993,199942,0
353561,205029,487369,199604,80429
179682,258803,22205,200258,0
223273,218038,423429,200422,123810
197158,280746,37700,200174,168273
133615,319332,68910,200290,209737
123939,258067,8576,200471,72314
180131,265888,499653,199418,33145
222425,308895,225629,200268,129821
110815,298792,13715,200216,0
225984,189680,476168,200274,95345
66326,326036,387281,201271,0
327250,248424,236459,200038,70123
299711,194376,439893,200343,0
327844,189549,385536,199932,0
238054,277127,305227,199810,0
205567,206235,498703,200021,0
247307,228951,255799,200011,208524
63554,216324,499653,199704,0
7629,184815,431724,199788,73432
115228,271948,13341,199938,0
67801,204099,483762,200695,0
114687,154735,102346,200303,101599
235546,150710,342189,199661,61576
96205,153774,499024,200274,19026
14521,281597,437477,199367,174648
313246,331133,67016,199264,98870
230437,310564,16,199989,96872
121906,330193,1189,199660,119238
191467,207898,449913,200146,0
291039,266789,244823,201080,34488
152268,311751,145326,200231,78569
377883,196898,2121,200138,51823
80933,318665,401047,200815,0
139127,229324,13585,200448,256729
106877,321708,49001,200406,128369
219477,300322,25506,199562,149732
380641,305870,339077,200000,54751
313576,325471,468191,199948,0
161042,343225,496954,199654,0
41143,340094,293941,200383,133949
340620,309816,114268,199953,115558
335662,244897,98701,200425,26209
351794,261174,930,199540,0
264898,272153,499583,200603,0
194550,187434,222050,199954,147173
109697,233424,495992,199549,0
262157,166739,493080,199783,0
143509,179792,307759,200438,228347
255772,235599,1936,199533,0
28582,287657,51353,199521,21180
87435,214229,461678,200076,270218
140414,179602,407097,200324,339053
309019,165168,428488,199864,0
388078,166998,172009,199892,145947
196108,243506,29060,200057,0
59015,298961,499076,200162,0
300998,285974,36699,200078,0
341189,198964,273437,199618,0
129189,314005,447066,199439,0
61481,255232,89655,199886,227581
300978,309147,416604,199672,26301
242968,246115,12371,199546,140248
195220,189007,11628,199257,63439
0,266343,399814,199807,0
144825,178064,480714,200246,84598
329418,187294,378589,199347,140380
286974,198480,25803,199438,0
196170,240016,28798,199918,94531
91032,189947,449091,199882,0
419840,201242,457003,199959,170223
218494,324349,424667,200108,27331
174215,218012,466761,200335,369
286378,273296,499640,199941,0
0,267165,202678,200348,0
137600,151521,125988,199681,29511
392485,258989,498645,200372,8785
190791,285681,192798,200037,87754
247774,328220,456571,199750,129450
128785,300090,407076,200084,63139
277036,213664,1340,200189,35637
266331,258459,314770,200967,16230
237349,347411,453567,200091,99685
246302,260421,105788,200124,25548
304744,167169,63616,200918,81397
308740,279356,212009,199853,88878
291575,175173,49865,199948,104806
193494,213008,269552,199793,142781
332206,221048,499036,199739,11492
109604,280041,117702,199966,68900
130382,189973,205210,200322,151021
242282,162478,454689,199994,0
200576,309712,279594,199585,107251
241928,223175,424042,199882,0
316014,344703,476652,200608,277442
263988,203670,417282,200038,61014
0,224623,165001,200507,74643
37337,199920,146885,199474,4908
5596,291354,65055,199242,123865
198330,263233,69865,199804,0
97177,335455,470328,200187,50088
126514,344373,442163,199437,3528
298996,183384,43154,199478,20899
199824,334671,107319,200267,123268
358639,245093,201963,199373,33203
272028,220519,307847,200024,51729
158307,345549,269128,198657,160700
193291,292220,331628,200643,0
146802,327902,2437,200282,169612
262653,338347,224858,199385,0
114302,164426,253520,199774,133218
109169,269947,196312,199592,93752
223659,210097,25668,200167,0
121701,166137,334141,199976,145635
164210,311491,497934,199257,88528
141869,219502,363145,200030,200993
266572,313270,161295,200421,18995
96977,347479,239484,200235,9312
196060,227934,118443,199713,77036
56376,175194,440015,199717,104915
122130,205467,499073,199567,0
97485,347847,499817,199991,80595
65117,152054,243694,199193,254005
121185,253521,22177,199801,0
495840,201948,380417,199791,1528
49810,197185,360584,199605,55994
155543,189637,457842,199764,0
205973,333413,149572,200999,0
260140,182068,403147,200598,228714
171872,235514,11620,200227,0
280397,175752,107771,200032,0
159265,220907,6094,199724,348691
228887,154970,89884,200053,0
115737,324560,116156,201212,44103
92157,273419,26814,199528,0
149104,274628,226671,199646,0
291138,256316,483892,199922,16389
316000,161893,452573,199773,115641
354559,231097,167054,200050,139567
310298,231440,30302,200380,76716
156016,203741,445690,199365,26187
138969,215842,18497,200955,72112
224940,167778,453034,199957,117366
187167,196357,90024,200645,57812
227014,328615,494316,199905,160849
240459,216301,37825,200101,96539
115897,340765,347733,199931,99531
139192,154268,33316,200172,0
70444,274927,490787,200019,0
274234,159439,133,199180,84331
220240,296094,225688,199968,0
319427,221634,130450,200104,20148
343428,152102,495923,200330,0
42716,247003,482158,199951,40555
264472,301843,436188,200199,72785
231988,169526,18213,200353,0
348873,325255,154673,200548,40518
219663,192072,163250,200782,27944
178889,188221,124532,200287,53080
196869,230798,438320,200234,0
294985,307341,325511,200380,42804
45185,256919,75166,199753,0
270037,168082,317054,199552,67836
51407,271761,272497,200019,0
202012,220150,460643,200359,103941
214773,299112,376139,200093,0
278625,168811,392195,199853,0
371893,268164,453629,200370,115180
165913,331014,73717,199599,35926
259864,272439,608,199193,87404
63191,208012,33612,200028,101460
91895,240065,73401,199591,55535
325242,318418,130831,199865,116494
196044,287732,87493,200309,0
109358,313488,6668,200501,0
101658,289124,8041,199726,76029
196714,313223,117090,200300,56234
162091,262581,336099,199850,0
250861,199410,147337,200463,25100
109351,233551,489468,200113,289983
251595,286490,386504,200133,78183
117149,266280,464967,199452,16874
177903,222549,24068,199947,0
208323,239589,406089,201003,91248
288739,216544,3857,199730,156356
223340,244867,496419,200540,0
313132,263835,397825,200680,53304
130499,262197,300909,200027,0
181392,284468,2014,199465,9040
198298,216044,162,200052,18445
167469,170692,131311,199662,0
305928,252935,41395,199976,98754
190167,257170,41502,199661,0
0,182829,77153,200040,0
246512,151258,49434,199881,30625
239461,177245,499469,198986,125487
181693,247042,6171,199652,70626
273576,324580,498682,200642,209467
49853,231459,359910,200091,0
312681,259980,97583,199482,45498
375105,214119,339212,199885,219259
215896,237355,383108,200093,88258
327775,262205,279873,200843,0
249095,239834,487244,200372,130850
328614,300516,128978,199564,0
257767,335621,2195,199757,102329
216130,349701,65380,200493,180374
0,279076,450434,199945,5030
255023,336211,458765,199685,0
317675,233436,91367,199362,63663
243207,335502,21445,199807,20730
245295,210767,364183,200282,136565
427625,173761,81594,199622,9493
344651,219809,495062,200107,0
121518,221738,190409,199914,104067
212804,239917,6645,199711,214542
29629,151933,84799,198765,194780
143045,261158,153158,199949,213140
229377,266411,494818,199795,143892
219619,171150,375801,199651,72511
1824,314574,305882,200433,0
202402,339054,427537,199560,0
0,211187,5406,200486,0
29394,318487,965,200440,144663
264463,315856,2042,199646,177130
156630,285209,367320,200125,125462
286426,180042,51025,199098,164227
234747,257546,301876,199618,0
174379,246962,1016,199577,86550
249261,263389,12702,200308,49155
89929,258089,476859,200172,236480
154825,266360,513,199990,31376
45815,276600,334535,199713,0
0,200253,45753,200092,205005
213008,211468,97193,200683,58052
204821,173325,493199,199971,10406
218958,160468,245427,199635,10172
336468,292839,245282,199295,0
94841,230582,162974,200021,70026
309546,342688,493951,199149,0
154677,186220,271971,200324,80273
308282,250108,251566,199871,0
125491,346630,143382,200437,51265
140883,255532,460004,199722,202904
39641,209567,463724,200077,17865
288681,234756,378340,200100,61786
124280,288109,366686,200149,0
135877,339188,484771,199924,97447
293510,242285,58352,199040,67248
238604,192360,314,199928,33851
214281,161061,443644,199273,0
55010,221246,307456,200427,166983
270412,302251,43460,200358,76971
74483,231342,484687,199976,0
7426,232273,414971,200259,102811
55541,232506,467634,200100,22240
237302,279364,929,200928,13784
96318,338046,448854,199575,268401
202595,332843,75756,200201,36653
190721,340019,73327,200168,16926
176024,302339,73129,200224,140662
190055,289792,316090,200229,131203
202932,254105,447125,199703,0
49309,338044,20425,200295,353273
247371,201345,40966,200537,96498
226848,156253,161992,200096,0
166804,341325,468171,200331,163670
141635,239626,490693,200664,139738
242471,310622,488122,200297,190091
358444,222171,63595,199413,175904
377320,259393,3523,199904,0
